,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
start_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0
end_time,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,2.0,3.0,4.0,5.0,6.0,7.0,3.0,4.0,5.0,6.0,7.0,4.0,5.0,6.0,7.0,5.0,6.0,7.0,6.0,7.0
PP_0001,0.0,-0.14599050638506872,0.039491518820501614,-0.13907465239034414,-0.3537579494954782,0.11783797191447128,-0.3436588003279693,0.09918291765515483,0.0,0.1868269142503173,0.005713651194393564,-0.20793770274327028,0.2563215789724922,-0.2004071589363191,0.24280726565760827,0.0,-0.1800044870759532,-0.3940540075959905,0.06971826963178553,-0.3876465309649823,0.05856536664944241,0.0,-0.21522792426567122,0.2500330346827601,-0.2065327090649263,0.23417177386115393,0.0,0.46264409321635536,0.009903059498379153,0.4518296428989017,0.0,-0.45398745657139017,-0.011317053898727848,0.0,0.4441812186133273
PP_0002,0.0,0.1213674493777069,-0.053003664185090935,-0.08615798766469024,-0.09875373202659743,-0.0838710315787402,-0.08585063384274363,-0.05316298083864805,0.0,-0.1730262245180509,-0.20872763984272802,-0.22029144103716497,-0.21274538028349488,-0.209956948213869,-0.1768965885989698,0.0,-0.03459263934470639,-0.046554607121516975,-0.03949555085583332,-0.03734318147416388,-0.0012853488387675818,0.0,-0.01314037152244462,-0.0045926335361054504,-0.0016412073053545806,0.028909210641697047,0.0,0.0059308722542630275,0.012707008514724099,0.0444795269362183,0.0,0.005529713407047082,0.03804605110068121,0.0,0.03402715363429905
PP_0003,0.0,-0.3831959223670042,-0.07345579419928772,-0.24218717278499619,0.15269688126280095,-0.19491847707464038,0.07744443398130331,-0.11456352550279124,0.0,0.31108501721246334,0.13980654678167712,0.5357225439969444,0.18077054596531594,0.45790149135488906,0.2662662384815978,0.0,-0.17016969445081576,0.2253481361820783,-0.13009086633753675,0.14640401636407968,-0.04223376348871428,0.0,0.39433942688725987,0.04038910608830057,0.3176830456389984,0.12353785109785972,0.0,-0.3565671865310356,-0.07544853695062735,-0.26837163101732353,0.0,0.2798722267269943,0.08769295193243817,0.0,-0.19066845885389128
PP_0005,0.0,0.464987150397752,0.23898949573766776,0.021460168982434115,0.4456647967004529,-0.2007950434113096,-0.7326811435451485,-1.0347102178135767,0.0,-0.2246527656153375,-0.44472918421564905,-0.01949261333015984,-0.6732890931361096,-1.2004071589363188,-1.5020635265939437,0.0,-0.21896764262034085,0.2058707616827747,-0.44841272261116144,-0.9761668510993274,-1.2748257457364551,0.0,0.42366000055748165,-0.229134802015799,-0.7560898736548837,-1.060256182980356,0.0,-0.6554116683053568,-1.178542029914731,-1.4814862387657608,0.0,-0.5243767844627881,-0.826577174041678,0.0,-0.30068957363822507
PP_0006,0.0,-0.7258974696802063,-0.05498861730439411,-0.523061405710225,-0.36354092104509284,-1.1990345855468723,-0.35796858776888174,-0.37759793133658515,0.0,0.6722537414205589,0.20163386116965037,0.36218628900225275,-0.48064401519371386,0.36519001691790604,0.34593337996100604,0.0,-0.46951110427093806,-0.309356843020709,-1.1526741517046621,-0.307476182280999,-0.32373534621740163,0.0,0.158975857504595,-0.6828527694587027,0.16314425681404202,0.1413776781892947,0.0,-0.8444454926953738,0.0053762436070812075,-0.015168234543223726,0.0,0.848575313449041,0.8287746545708763,0.0,-0.01828984293750002
PP_0007,0.0,-0.2527914238484065,-0.022375651434107656,-0.5056348436546145,-0.21322008849213703,0.07712624490890642,-0.1609531005963219,-0.30657197989691926,0.0,0.23176066145904534,-0.2540456226065392,0.039401075723408674,0.3224107694302649,0.08909945825866618,-0.05614671443112796,0.0,-0.4846975080856141,-0.19164897633803968,0.09087371288083007,-0.1430736609787254,-0.28532236064802213,0.0,0.29187012800194045,0.5758814989414657,0.3427331819309918,0.19497706757335012,0.0,0.2813945052074491,0.052070898226685466,-0.09446311565651369,0.0,-0.23057002983417776,-0.37636022444523687,0.0,-0.1442793786703942
PP_0012,0.0,0.033300148061590124,-0.007698911747888251,-0.12434432949766289,-0.11370514869627109,-0.05612719728659802,0.031247086809037414,-0.004862374744285525,0.0,-0.03965417076473146,-0.1588466803595839,-0.14717555639072183,-0.09693424467523616,-0.004791926245971086,-0.040528681188490866,0.0,-0.11808373361488192,-0.10681077622839336,-0.057056469000893895,0.034449786740414434,0.0017105048183917934,0.0,0.010094553640854403,0.06133754258900931,0.15364285517939924,0.11539615856903201,0.0,0.048626123216078794,0.14475614583617866,0.10773154970025392,0.0,0.09488359976668627,0.05860282290290134,0.0,-0.034769960923119875
PP_5421,0.0,-0.10008630943221422,0.028362363402582025,-0.12490102508933723,-0.12132892834165557,-0.026218824503858262,0.03434655492165699,-0.09360461665383733,0.0,0.12979356187954294,-0.026016918457454054,-0.02141287854230226,0.06636058560130804,0.13169399936045256,0.004115534395761643,0.0,-0.1547017043570264,-0.150495831024248,-0.06320937136862421,0.001487979702563931,-0.12309301224162984,0.0,0.0030274695871444213,0.09180261096342371,0.15729901888369296,0.027210612251154703,0.0,0.086158275644203,0.15547939359418284,0.026613087436087028,0.0,0.0680746950965657,-0.06004779178939016,0.0,-0.12661167094529094
