Name,locus_tag,TPM,FPKM,protein_id,Raw Fragment Count,Raw Transcript Count,RPKM,gene
parB CDS,PP_0001,189.86,251.28,NP_742171.1,45.50,3.60,251.28,parB
parA CDS,PP_0002,103.49,136.97,NP_742172.1,22.50,1.96,136.97,parA
rsmG CDS,PP_0003,302.17,399.93,NP_742173.1,54.00,5.72,399.93,rsmG
trmF CDS,PP_0004,142.18,188.17,NP_742174.1,74.00,2.69,188.17,trmF
trmE CDS,PP_0005,18.60,24.62,NP_742175.1,7.00,0.35,24.62,trmE
oxaA CDS,PP_0006,258.66,342.33,NP_742176.1,119.50,4.90,342.33,oxaA
yidD CDS,PP_0007,229.53,303.78,NP_742177.1,15.50,4.35,303.78,yidD
rnpA CDS,PP_0008,742.06,982.12,NP_742178.1,82.50,14.05,982.12,rnpA
rpmH CDS,PP_0009,2954.76,3910.63,NP_742179.1,109.50,55.95,3910.63,rpmH
dnaA CDS,PP_0010,334.11,442.19,NP_742180.1,139.50,6.33,442.19,dnaA
dnaN CDS,PP_0011,293.67,388.68,NP_742181.1,89.00,5.56,388.68,dnaN
recF CDS,PP_0012,168.28,222.72,NP_742182.1,51.00,3.19,222.72,recF
gyrB CDS,PP_0013,446.14,590.47,NP_742183.1,296.50,8.45,590.47,gyrB
transposase CDS,PP_0014,12.09,16.00,NP_742184.2,6.50,0.23,16.00,
transposon protein CDS,PP_0015,36.05,47.71,NP_742185.1,9.50,0.68,47.71,
hypothetical protein CDS,PP_0016,22.80,30.18,NP_742186.1,12.00,0.43,30.18,
transcriptional regulator CDS,PP_0017,313.69,415.17,NP_742187.1,31.00,5.94,415.17,
hypothetical protein CDS,PP_0018,840.49,1112.39,NP_742188.1,194.50,15.92,1112.39,
hypothetical protein CDS,PP_0019,646.23,855.28,NP_742189.1,124.00,12.24,855.28,
hypothetical protein CDS,PP_0020,334.76,443.06,NP_742190.1,80.50,6.34,443.06,
hypothetical protein CDS,PP_0021,86.73,114.79,NP_742191.1,22.00,1.64,114.79,
hypothetical protein CDS,PP_0022,154.55,204.54,NP_742192.2,7.00,2.93,204.54,
hypothetical protein CDS,PP_0023,2343.85,3102.09,NP_742193.1,83.00,44.39,3102.09,
membrane-associated metal-dependent hydrolase CDS,PP_0024,0.00,0.00,NP_742194.1,0.00,0.00,0.00,
hypothetical protein CDS,PP_0025,47.62,63.02,NP_742195.1,2.00,0.90,63.02,
cobalt/cadmium/zinc exporter CDS,PP_0026,12.06,15.96,NP_742196.1,3.00,0.23,15.96,
membrane protein CDS,PP_0027,0.00,0.00,NP_742197.1,0.00,0.00,0.00,
hypothetical protein CDS,PP_0028,11.14,14.74,NP_742198.1,1.00,0.21,14.74,
czcR-I CDS,PP_0029,26.98,35.71,NP_742199.1,5.00,0.51,35.71,czcR-I
czrSA CDS,PP_0030,25.67,33.98,NP_742200.1,10.00,0.49,33.98,czrSA
hypothetical protein CDS,PP_0031,0.00,0.00,NP_742201.1,0.00,0.00,0.00,
hypothetical protein CDS,PP_0032,16.41,21.72,NP_742202.1,1.00,0.31,21.72,
undecaprenyl-glycosyl transferase CDS,PP_0033,5.01,6.63,NP_742203.1,2.00,0.09,6.63,
bactoprenol glycosyl-transferase CDS,PP_0034,5.55,7.35,NP_742204.1,1.50,0.11,7.35,
bactoprenol-linked glycose transferase CDS,PP_0035,4.34,5.74,NP_742205.1,0.50,0.08,5.74,
transcriptional regulator CDS,PP_0036,0.00,0.00,NP_742206.1,0.00,0.00,0.00,
oprP CDS,PP_0037,5.65,7.47,NP_742207.1,2.00,0.11,7.47,oprP
hypothetical protein CDS,PP_0039,28.40,37.59,NP_742209.1,8.00,0.54,37.59,
hypothetical protein CDS,PP_0040,64.76,85.71,NP_742210.1,4.00,1.23,85.71,
cadA-I CDS,PP_0041,9.12,12.07,NP_742211.1,5.00,0.17,12.07,cadA-I
hypothetical protein CDS,PP_0042,0.00,0.00,NP_742212.2,0.00,0.00,0.00,
czcA-I CDS,PP_0043,3.46,4.57,NP_742213.1,3.00,0.07,4.57,czcA-I
czcB-I CDS,PP_0044,5.82,7.71,NP_742214.1,2.00,0.11,7.71,czcB-I
czcC-I CDS,PP_0045,2.86,3.79,NP_742215.1,1.00,0.05,3.79,czcC-I
opdT-I CDS,PP_0046,8.13,10.76,NP_742216.1,3.00,0.15,10.76,opdT-I
czcR-II CDS,PP_0047,0.00,0.00,NP_742217.1,0.00,0.00,0.00,czcR-II
hypothetical protein CDS,PP_0048,44.97,59.52,NP_742218.1,4.00,0.85,59.52,
hypothetical protein CDS,PP_0049,29.80,39.44,NP_742219.1,12.00,0.56,39.44,
hypothetical protein CDS,PP_0050,53.57,70.90,NP_742220.1,6.00,1.01,70.90,
sigma-54 dependent transcriptional regulator CDS,PP_0051,11.27,14.92,NP_742221.1,4.00,0.21,14.92,
beta-lactamase domain-containing protein CDS,PP_0052,24.70,32.69,NP_742222.1,6.00,0.47,32.69,
sulfide:quinone oxidoreductase CDS,PP_0053,11.48,15.20,NP_742223.1,4.00,0.22,15.20,
membrane protein CDS,PP_0054,10.61,14.05,NP_742224.1,2.50,0.20,14.05,
transcriptional regulator CDS,PP_0055,14.36,19.00,NP_742225.1,3.50,0.27,19.00,
betA-I CDS,PP_0056,8.82,11.67,NP_742226.1,4.00,0.17,11.67,betA-I
major facilitator family transporter CDS,PP_0057,11.24,14.88,NP_742227.1,5.00,0.21,14.88,
1-acyl-sn-glycerol-3-phosphate acyltransferase CDS,PP_0058,41.71,55.21,NP_742228.1,9.00,0.79,55.21,
gmhB CDS,PP_0059,44.85,59.35,NP_742229.1,6.50,0.85,59.35,gmhB
glyS CDS,PP_0060,194.99,258.08,NP_742230.1,110.00,3.69,258.08,glyS
glyQ CDS,PP_0061,232.48,307.69,NP_742231.1,60.50,4.40,307.69,glyQ
tag CDS,PP_0062,52.79,69.87,NP_742232.1,8.00,1.00,69.87,tag
lipid A biosynthesis lauroyl acyltransferase CDS,PP_0063,32.82,43.44,NP_742233.1,8.00,0.62,43.44,
hypothetical protein CDS,PP_0064,109.86,145.40,NP_742234.1,9.50,2.08,145.40,
trkA CDS,PP_0065,47.72,63.16,NP_742235.1,18.00,0.90,63.16,trkA
