Name,locus_tag,TPM,FPKM,protein_id,Raw Fragment Count,Raw Transcript Count,RPKM,gene
parB CDS,PP_0001,266.32,348.31,NP_742171.1,806.50,69.69,348.31,parB
parA CDS,PP_0002,386.37,505.33,NP_742172.1,1061.50,101.10,505.33,parA
rsmG CDS,PP_0003,328.80,430.03,NP_742173.1,742.50,86.03,430.03,rsmG
trmF CDS,PP_0004,260.07,340.15,NP_742174.1,1710.50,68.05,340.15,trmF
trmE CDS,PP_0005,46.47,60.78,NP_742175.1,221.00,12.16,60.78,trmE
oxaA CDS,PP_0006,434.81,568.69,NP_742176.1,2538.50,113.78,568.69,oxaA
yidD CDS,PP_0007,853.11,1115.78,NP_742177.1,728.00,223.23,1115.78,yidD
rnpA CDS,PP_0008,1603.68,2097.43,NP_742178.1,2253.00,419.62,2097.43,rnpA
rpmH CDS,PP_0009,2328.64,3045.60,NP_742179.1,1090.50,609.32,3045.60,rpmH
dnaA CDS,PP_0010,299.55,391.78,NP_742180.1,1580.50,78.38,391.78,dnaA
dnaN CDS,PP_0011,429.54,561.80,NP_742181.1,1645.00,112.40,561.80,dnaN
recF CDS,PP_0012,263.47,344.59,NP_742182.1,1009.00,68.94,344.59,recF
gyrB CDS,PP_0013,372.17,486.75,NP_742183.1,3125.50,97.38,486.75,gyrB
transposase CDS,PP_0014,7.43,9.72,NP_742184.2,50.50,1.94,9.72,
transposon protein CDS,PP_0015,19.82,25.92,NP_742185.1,66.00,5.19,25.92,
hypothetical protein CDS,PP_0016,24.14,31.57,NP_742186.1,160.50,6.32,31.57,
transcriptional regulator CDS,PP_0017,199.79,261.31,NP_742187.1,249.50,52.28,261.31,
hypothetical protein CDS,PP_0018,414.81,542.52,NP_742188.1,1213.00,108.54,542.52,
hypothetical protein CDS,PP_0019,521.29,681.79,NP_742189.1,1264.00,136.40,681.79,
hypothetical protein CDS,PP_0020,397.20,519.50,NP_742190.1,1207.00,103.93,519.50,
hypothetical protein CDS,PP_0021,50.54,66.10,NP_742191.1,162.00,13.23,66.10,
hypothetical protein CDS,PP_0022,43.68,57.13,NP_742192.2,25.00,11.43,57.13,
hypothetical protein CDS,PP_0023,438.00,572.86,NP_742193.1,196.00,114.61,572.86,
membrane-associated metal-dependent hydrolase CDS,PP_0024,2.21,2.89,NP_742194.1,13.00,0.58,2.89,
hypothetical protein CDS,PP_0025,0.00,0.00,NP_742195.1,0.00,0.00,0.00,
cobalt/cadmium/zinc exporter CDS,PP_0026,20.84,27.26,NP_742196.1,65.50,5.45,27.26,
membrane protein CDS,PP_0027,10.13,13.25,NP_742197.1,15.50,2.65,13.25,
hypothetical protein CDS,PP_0028,5.29,6.92,NP_742198.1,6.00,1.38,6.92,
czcR-I CDS,PP_0029,43.99,57.53,NP_742199.1,103.00,11.51,57.53,czcR-I
czrSA CDS,PP_0030,41.85,54.74,NP_742200.1,206.00,10.95,54.74,czrSA
