Name,locus_tag,TPM,FPKM,protein_id,Raw Fragment Count,Raw Transcript Count,RPKM,gene
parB CDS,PP_0001,243.60,332.22,NP_742171.1,48.50,4.17,332.22,parB
parA CDS,PP_0002,395.85,539.85,NP_742172.1,71.50,6.77,539.85,parA
rsmG CDS,PP_0003,555.68,757.83,NP_742173.1,82.50,9.50,757.83,rsmG
trmF CDS,PP_0004,255.55,348.51,NP_742174.1,110.50,4.37,348.51,trmF
trmE CDS,PP_0005,41.58,56.70,NP_742175.1,13.00,0.71,56.70,trmE
oxaA CDS,PP_0006,360.84,492.11,NP_742176.1,138.50,6.17,492.11,oxaA
yidD CDS,PP_0007,873.40,1191.12,NP_742177.1,49.00,14.93,1191.12,yidD
rnpA CDS,PP_0008,1196.35,1631.56,NP_742178.1,110.50,20.46,1631.56,rnpA
rpmH CDS,PP_0009,1624.01,2214.79,NP_742179.1,50.00,27.77,2214.79,rpmH
dnaA CDS,PP_0010,279.64,381.36,NP_742180.1,97.00,4.78,381.36,dnaA
dnaN CDS,PP_0011,287.95,392.70,NP_742181.1,72.50,4.92,392.70,dnaN
recF CDS,PP_0012,238.31,325.00,NP_742182.1,60.00,4.07,325.00,recF
gyrB CDS,PP_0013,361.33,492.77,NP_742183.1,199.50,6.18,492.77,gyrB
transposase CDS,PP_0014,6.71,9.16,NP_742184.2,3.00,0.11,9.16,
transposon protein CDS,PP_0015,13.70,18.69,NP_742185.1,3.00,0.23,18.69,
hypothetical protein CDS,PP_0016,19.44,26.52,NP_742186.1,8.50,0.33,26.52,
transcriptional regulator CDS,PP_0017,286.23,390.36,NP_742187.1,23.50,4.89,390.36,
hypothetical protein CDS,PP_0018,197.66,269.56,NP_742188.1,38.00,3.38,269.56,
hypothetical protein CDS,PP_0019,294.83,402.08,NP_742189.1,47.00,5.04,402.08,
hypothetical protein CDS,PP_0020,255.28,348.15,NP_742190.1,51.00,4.36,348.15,
hypothetical protein CDS,PP_0021,71.18,97.08,NP_742191.1,15.00,1.22,97.08,
hypothetical protein CDS,PP_0022,26.57,36.24,NP_742192.2,1.00,0.45,36.24,
hypothetical protein CDS,PP_0023,475.87,648.98,NP_742193.1,14.00,8.14,648.98,
membrane-associated metal-dependent hydrolase CDS,PP_0024,5.16,7.04,NP_742194.1,2.00,0.09,7.04,
hypothetical protein CDS,PP_0025,0.00,0.00,NP_742195.1,0.00,0.00,0.00,
cobalt/cadmium/zinc exporter CDS,PP_0026,53.24,72.60,NP_742196.1,11.00,0.91,72.60,
membrane protein CDS,PP_0027,9.94,13.56,NP_742197.1,1.00,0.17,13.56,
hypothetical protein CDS,PP_0028,0.00,0.00,NP_742198.1,0.00,0.00,0.00,
czcR-I CDS,PP_0029,25.98,35.44,NP_742199.1,4.00,0.44,35.44,czcR-I
czrSA CDS,PP_0030,15.45,21.07,NP_742200.1,5.00,0.26,21.07,czrSA
hypothetical protein CDS,PP_0031,0.00,0.00,NP_742201.1,0.00,0.00,0.00,
hypothetical protein CDS,PP_0032,0.00,0.00,NP_742202.1,0.00,0.00,0.00,
undecaprenyl-glycosyl transferase CDS,PP_0033,3.01,4.11,NP_742203.1,1.00,0.05,4.11,
bactoprenol glycosyl-transferase CDS,PP_0034,0.00,0.00,NP_742204.1,0.00,0.00,0.00,
bactoprenol-linked glycose transferase CDS,PP_0035,20.88,28.48,NP_742205.1,2.00,0.36,28.48,
transcriptional regulator CDS,PP_0036,0.00,0.00,NP_742206.1,0.00,0.00,0.00,
oprP CDS,PP_0037,10.20,13.91,NP_742207.1,3.00,0.17,13.91,oprP
hypothetical protein CDS,PP_0039,38.46,52.46,NP_742209.1,9.00,0.66,52.46,
hypothetical protein CDS,PP_0040,194.88,265.77,NP_742210.1,10.00,3.33,265.77,
cadA-I CDS,PP_0041,10.97,14.96,NP_742211.1,5.00,0.19,14.96,cadA-I
hypothetical protein CDS,PP_0042,27.07,36.91,NP_742212.2,2.00,0.46,36.91,
czcA-I CDS,PP_0043,1.39,1.89,NP_742213.1,1.00,0.02,1.89,czcA-I
czcB-I CDS,PP_0044,24.54,33.46,NP_742214.1,7.00,0.42,33.46,czcB-I
czcC-I CDS,PP_0045,3.45,4.70,NP_742215.1,1.00,0.06,4.70,czcC-I
opdT-I CDS,PP_0046,9.79,13.35,NP_742216.1,3.00,0.17,13.35,opdT-I
czcR-II CDS,PP_0047,0.00,0.00,NP_742217.1,0.00,0.00,0.00,czcR-II
hypothetical protein CDS,PP_0048,13.53,18.46,NP_742218.1,1.00,0.23,18.46,
hypothetical protein CDS,PP_0049,23.91,32.61,NP_742219.1,8.00,0.41,32.61,
hypothetical protein CDS,PP_0050,10.75,14.66,NP_742220.1,1.00,0.18,14.66,
sigma-54 dependent transcriptional regulator CDS,PP_0051,44.09,60.12,NP_742221.1,13.00,0.75,60.12,
beta-lactamase domain-containing protein CDS,PP_0052,94.14,128.38,NP_742222.1,19.00,1.61,128.38,
sulfide:quinone oxidoreductase CDS,PP_0053,41.46,56.55,NP_742223.1,12.00,0.71,56.55,
membrane protein CDS,PP_0054,7.67,10.45,NP_742224.1,1.50,0.13,10.45,
transcriptional regulator CDS,PP_0055,46.91,63.97,NP_742225.1,9.50,0.80,63.97,
betA-I CDS,PP_0056,15.92,21.71,NP_742226.1,6.00,0.27,21.71,betA-I
major facilitator family transporter CDS,PP_0057,27.07,36.91,NP_742227.1,10.00,0.46,36.91,
1-acyl-sn-glycerol-3-phosphate acyltransferase CDS,PP_0058,58.58,79.88,NP_742228.1,10.50,1.00,79.88,
gmhB CDS,PP_0059,137.03,186.87,NP_742229.1,16.50,2.34,186.87,gmhB
glyS CDS,PP_0060,174.97,238.62,NP_742230.1,82.00,2.99,238.62,glyS
glyQ CDS,PP_0061,231.27,315.40,NP_742231.1,50.00,3.95,315.40,glyQ
tag CDS,PP_0062,67.52,92.08,NP_742232.1,8.50,1.15,92.08,tag
lipid A biosynthesis lauroyl acyltransferase CDS,PP_0063,86.41,117.85,NP_742233.1,17.50,1.48,117.85,
hypothetical protein CDS,PP_0064,187.92,256.28,NP_742234.1,13.50,3.21,256.28,
trkA CDS,PP_0065,70.21,95.75,NP_742235.1,22.00,1.20,95.75,trkA
rsmB CDS,PP_0066,65.22,88.95,NP_742236.1,19.50,1.12,88.95,rsmB
fmt CDS,PP_0067,63.45,86.53,NP_742237.1,13.50,1.08,86.53,fmt
def-I CDS,PP_0068,185.94,253.59,NP_742238.1,21.50,3.18,253.59,def-I
rossmann fold nucleotide-binding protein CDS,PP_0069,35.94,49.02,NP_742239.1,9.00,0.61,49.02,
tsaC CDS,PP_0070,86.44,117.88,NP_742240.1,11.00,1.48,117.88,tsaC
hypothetical protein CDS,PP_0071,39.50,53.87,NP_742241.2,3.00,0.68,53.87,
qor-I CDS,PP_0072,215.21,293.49,NP_742242.1,48.00,3.68,293.49,qor-I
hemF CDS,PP_0073,52.89,72.13,NP_742243.1,11.00,0.90,72.13,hemF
aroE CDS,PP_0074,31.89,43.49,NP_742244.1,6.00,0.55,43.49,aroE
choline sulfate transporter CDS,PP_0075,5.60,7.64,NP_742245.1,2.00,0.10,7.64,
choline betaine-binding protein CDS,PP_0076,54.57,74.43,NP_742246.2,11.50,0.93,74.43,
betC CDS,PP_0077,10.11,13.79,NP_742247.1,3.50,0.17,13.79,betC
transcriptional regulator CDS,PP_0079,38.98,53.15,NP_742249.1,8.00,0.67,53.15,
hypothetical protein CDS,PP_0080,17.74,24.19,NP_742250.1,2.50,0.30,24.19,
hypothetical protein CDS,PP_0081,76.62,104.49,NP_742251.1,6.50,1.31,104.49,
trpA CDS,PP_0082,48.72,66.44,NP_742252.1,9.00,0.83,66.44,trpA
trpB CDS,PP_0083,136.80,186.57,NP_742253.1,38.00,2.34,186.57,trpB
trpI CDS,PP_0084,14.66,20.00,NP_742254.1,3.00,0.25,20.00,trpI
hypothetical protein CDS,PP_0085,233.14,317.95,NP_742255.1,26.00,3.99,317.95,
hypothetical protein CDS,PP_0086,142.10,193.79,NP_742256.1,7.00,2.43,193.79,
hypothetical protein CDS,PP_0087,298.97,407.72,NP_742257.1,18.00,5.11,407.72,
alkanal monooxygenase CDS,PP_0088,122.16,166.61,NP_742258.1,28.00,2.09,166.61,
osmC CDS,PP_0089,77.20,105.28,NP_742259.1,7.50,1.32,105.28,osmC
hypothetical protein CDS,PP_0090,302.66,412.76,NP_742260.1,20.50,5.17,412.76,
putative lipoprotein CDS,PP_0091,137.69,187.78,NP_742261.1,13.00,2.35,187.78,
putative lipoprotein CDS,PP_0092,148.28,202.22,NP_742262.1,14.00,2.54,202.22,
zinc protease CDS,PP_0093,20.36,27.76,NP_742263.2,5.00,0.35,27.76,
5'-nucleotidase CDS,PP_0094,94.30,128.60,NP_742264.1,14.00,1.61,128.60,
hypothetical protein CDS,PP_0095,15.97,21.78,NP_742265.1,2.00,0.27,21.78,
prlC CDS,PP_0096,258.56,352.62,NP_742266.1,121.00,4.42,352.62,prlC
hypothetical protein CDS,PP_0097,380.95,519.53,NP_742267.1,24.50,6.51,519.53,
hypothetical protein CDS,PP_0098,88.20,120.29,NP_742268.1,3.50,1.51,120.29,
hypothetical protein CDS,PP_0099,12.42,16.94,NP_742269.1,3.00,0.21,16.94,
cynT CDS,PP_0100,816.06,1112.93,NP_742270.1,134.00,13.95,1112.93,cynT
sulfate transporter CDS,PP_0101,40.44,55.15,NP_742271.1,14.00,0.69,55.15,
cytochrome c oxidase subunit 2 CDS,PP_0103,15.55,21.21,NP_742273.1,4.00,0.27,21.21,
ctaD CDS,PP_0104,13.79,18.80,NP_742274.1,5.00,0.24,18.80,ctaD
