Name,locus_tag,TPM,FPKM,protein_id,Raw Fragment Count,Raw Transcript Count,RPKM,gene
parB CDS,PP_0001,241.79,317.43,NP_742171.1,57.50,4.95,317.43,parB
parA CDS,PP_0002,359.21,471.60,NP_742172.1,77.50,7.35,471.60,parA
rsmG CDS,PP_0003,411.64,540.43,NP_742173.1,73.00,8.42,540.43,rsmG
trmF CDS,PP_0004,261.38,343.16,NP_742174.1,135.00,5.35,343.16,trmF
trmE CDS,PP_0005,13.39,17.58,NP_742175.1,5.00,0.27,17.58,trmE
oxaA CDS,PP_0006,353.35,463.90,NP_742176.1,162.00,7.23,463.90,oxaA
yidD CDS,PP_0007,619.29,813.04,NP_742177.1,41.50,12.67,813.04,yidD
rnpA CDS,PP_0008,1282.56,1683.83,NP_742178.1,141.50,26.24,1683.83,rnpA
rpmH CDS,PP_0009,1713.11,2249.07,NP_742179.1,63.00,35.04,2249.07,rpmH
dnaA CDS,PP_0010,374.09,491.13,NP_742180.1,155.00,7.65,491.13,dnaA
dnaN CDS,PP_0011,261.02,342.69,NP_742181.1,78.50,5.34,342.69,dnaN
recF CDS,PP_0012,284.30,373.24,NP_742182.1,85.50,5.82,373.24,recF
gyrB CDS,PP_0013,407.88,535.49,NP_742183.1,269.00,8.34,535.49,gyrB
transposase CDS,PP_0014,5.62,7.38,NP_742184.2,3.00,0.11,7.38,
transposon protein CDS,PP_0015,15.30,20.08,NP_742185.1,4.00,0.31,20.08,
hypothetical protein CDS,PP_0016,40.21,52.80,NP_742186.1,21.00,0.82,52.80,
transcriptional regulator CDS,PP_0017,244.73,321.30,NP_742187.1,24.00,5.01,321.30,
hypothetical protein CDS,PP_0018,169.83,222.96,NP_742188.1,39.00,3.47,222.96,
hypothetical protein CDS,PP_0019,312.48,410.24,NP_742189.1,59.50,6.39,410.24,
hypothetical protein CDS,PP_0020,240.96,316.34,NP_742190.1,57.50,4.93,316.34,
hypothetical protein CDS,PP_0021,63.57,83.45,NP_742191.1,16.00,1.30,83.45,
hypothetical protein CDS,PP_0022,44.50,58.42,NP_742192.2,2.00,0.91,58.42,
hypothetical protein CDS,PP_0023,313.03,410.96,NP_742193.1,11.00,6.40,410.96,
membrane-associated metal-dependent hydrolase CDS,PP_0024,4.32,5.68,NP_742194.1,2.00,0.09,5.68,
hypothetical protein CDS,PP_0025,71.98,94.50,NP_742195.1,3.00,1.47,94.50,
cobalt/cadmium/zinc exporter CDS,PP_0026,40.52,53.19,NP_742196.1,10.00,0.83,53.19,
membrane protein CDS,PP_0027,33.30,43.71,NP_742197.1,4.00,0.68,43.71,
hypothetical protein CDS,PP_0028,0.00,0.00,NP_742198.1,0.00,0.00,0.00,
czcR-I CDS,PP_0029,21.75,28.56,NP_742199.1,4.00,0.44,28.56,czcR-I
czrSA CDS,PP_0030,12.93,16.98,NP_742200.1,5.00,0.26,16.98,czrSA
hypothetical protein CDS,PP_0031,0.00,0.00,NP_742201.1,0.00,0.00,0.00,
hypothetical protein CDS,PP_0032,0.00,0.00,NP_742202.1,0.00,0.00,0.00,
