Name,locus_tag,TPM,FPKM,protein_id,Raw Fragment Count,Raw Transcript Count,RPKM,gene
parB CDS,PP_0001,26.38,30.84,NP_742171.1,67.00,5.80,30.84,parB
parA CDS,PP_0002,102.20,119.49,NP_742172.1,235.50,22.45,119.49,parA
rsmG CDS,PP_0003,46.99,54.94,NP_742173.1,89.00,10.32,54.94,rsmG
trmF CDS,PP_0004,69.52,81.28,NP_742174.1,383.50,15.27,81.28,trmF
trmE CDS,PP_0005,131.11,153.29,NP_742175.1,523.00,28.81,153.29,trmE
oxaA CDS,PP_0006,15.72,18.38,NP_742176.1,77.00,3.45,18.38,oxaA
yidD CDS,PP_0007,27.94,32.67,NP_742177.1,20.00,6.14,32.67,yidD
rnpA CDS,PP_0008,36.92,43.16,NP_742178.1,43.50,8.11,43.16,rnpA
rpmH CDS,PP_0009,82.74,96.74,NP_742179.1,32.50,18.18,96.74,rpmH
dnaA CDS,PP_0010,62.82,73.45,NP_742180.1,278.00,13.80,73.45,dnaA
dnaN CDS,PP_0011,64.91,75.89,NP_742181.1,208.50,14.26,75.89,dnaN
recF CDS,PP_0012,58.22,68.07,NP_742182.1,187.00,12.79,68.07,recF
gyrB CDS,PP_0013,29.17,34.11,NP_742183.1,205.50,6.41,34.11,gyrB
transposase CDS,PP_0014,5.44,6.36,NP_742184.2,31.00,1.19,6.36,
transposon protein CDS,PP_0015,15.39,18.00,NP_742185.1,43.00,3.38,18.00,
hypothetical protein CDS,PP_0016,31.91,37.31,NP_742186.1,178.00,7.01,37.31,
transcriptional regulator CDS,PP_0017,140.34,164.09,NP_742187.1,147.00,30.84,164.09,
hypothetical protein CDS,PP_0018,300.48,351.31,NP_742188.1,737.00,66.02,351.31,
hypothetical protein CDS,PP_0019,912.34,1066.69,NP_742189.1,1855.50,200.45,1066.69,
hypothetical protein CDS,PP_0020,301.52,352.53,NP_742190.1,768.50,66.25,352.53,
hypothetical protein CDS,PP_0021,14.88,17.40,NP_742191.1,40.00,3.27,17.40,
hypothetical protein CDS,PP_0022,335.36,392.10,NP_742192.2,161.00,73.68,392.10,
hypothetical protein CDS,PP_0023,306.39,358.23,NP_742193.1,115.00,67.32,358.23,
membrane-associated metal-dependent hydrolase CDS,PP_0024,3.85,4.50,NP_742194.1,19.00,0.84,4.50,
hypothetical protein CDS,PP_0025,2.25,2.63,NP_742195.1,1.00,0.49,2.63,
cobalt/cadmium/zinc exporter CDS,PP_0026,96.74,113.10,NP_742196.1,255.00,21.25,113.10,
membrane protein CDS,PP_0027,32.73,38.27,NP_742197.1,42.00,7.19,38.27,
hypothetical protein CDS,PP_0028,3.15,3.69,NP_742198.1,3.00,0.69,3.69,
czcR-I CDS,PP_0029,130.09,152.10,NP_742199.1,255.50,28.58,152.10,czcR-I
