Name,locus_tag,TPM,FPKM,protein_id,Raw Fragment Count,Raw Transcript Count,RPKM,gene
parB CDS,PP_0001,263.73,314.92,NP_742171.1,967.50,83.75,314.92,parB
parA CDS,PP_0002,444.09,530.29,NP_742172.1,1478.00,141.03,530.29,parA
rsmG CDS,PP_0003,345.25,412.27,NP_742173.1,944.50,109.64,412.27,rsmG
trmF CDS,PP_0004,375.40,448.27,NP_742174.1,2991.00,119.22,448.27,trmF
trmE CDS,PP_0005,68.56,81.87,NP_742175.1,395.00,21.77,81.87,trmE
oxaA CDS,PP_0006,444.12,530.33,NP_742176.1,3141.00,141.04,530.33,oxaA
yidD CDS,PP_0007,728.41,869.81,NP_742177.1,753.00,231.33,869.81,yidD
rnpA CDS,PP_0008,1645.50,1964.92,NP_742178.1,2800.50,522.57,1964.92,rnpA
rpmH CDS,PP_0009,1426.93,1703.91,NP_742179.1,809.50,453.16,1703.91,rpmH
dnaA CDS,PP_0010,363.60,434.18,NP_742180.1,2324.00,115.47,434.18,dnaA
dnaN CDS,PP_0011,447.16,533.96,NP_742181.1,2074.50,142.01,533.96,dnaN
recF CDS,PP_0012,258.77,309.00,NP_742182.1,1200.50,82.18,309.00,recF
gyrB CDS,PP_0013,409.49,488.98,NP_742183.1,4166.00,130.04,488.98,gyrB
transposase CDS,PP_0014,4.49,5.37,NP_742184.2,37.00,1.43,5.37,
transposon protein CDS,PP_0015,14.50,17.32,NP_742185.1,58.50,4.61,17.32,
hypothetical protein CDS,PP_0016,25.76,30.76,NP_742186.1,207.50,8.18,30.76,
transcriptional regulator CDS,PP_0017,180.13,215.09,NP_742187.1,272.50,57.20,215.09,
hypothetical protein CDS,PP_0018,232.60,277.76,NP_742188.1,824.00,73.87,277.76,
hypothetical protein CDS,PP_0019,298.40,356.32,NP_742189.1,876.50,94.76,356.32,
hypothetical protein CDS,PP_0020,211.21,252.21,NP_742190.1,777.50,67.08,252.21,
hypothetical protein CDS,PP_0021,52.28,62.43,NP_742191.1,203.00,16.60,62.43,
hypothetical protein CDS,PP_0022,31.73,37.89,NP_742192.2,22.00,10.08,37.89,
hypothetical protein CDS,PP_0023,53.50,63.88,NP_742193.1,29.00,16.99,63.88,
membrane-associated metal-dependent hydrolase CDS,PP_0024,3.50,4.18,NP_742194.1,25.00,1.11,4.18,
hypothetical protein CDS,PP_0025,4.67,5.57,NP_742195.1,3.00,1.48,5.57,
cobalt/cadmium/zinc exporter CDS,PP_0026,38.74,46.26,NP_742196.1,147.50,12.30,46.26,
membrane protein CDS,PP_0027,21.04,25.13,NP_742197.1,39.00,6.68,25.13,
hypothetical protein CDS,PP_0028,3.27,3.91,NP_742198.1,4.50,1.04,3.91,
czcR-I CDS,PP_0029,56.23,67.15,NP_742199.1,159.50,17.86,67.15,czcR-I
czrSA CDS,PP_0030,38.15,45.56,NP_742200.1,227.50,12.12,45.56,czrSA
hypothetical protein CDS,PP_0031,6.07,7.25,NP_742201.1,15.00,1.93,7.25,
hypothetical protein CDS,PP_0032,1.07,1.28,NP_742202.1,1.00,0.34,1.28,
undecaprenyl-glycosyl transferase CDS,PP_0033,5.40,6.44,NP_742203.1,33.00,1.71,6.44,
bactoprenol glycosyl-transferase CDS,PP_0034,1.81,2.17,NP_742204.1,7.50,0.58,2.17,
bactoprenol-linked glycose transferase CDS,PP_0035,4.82,5.75,NP_742205.1,8.50,1.53,5.75,
transcriptional regulator CDS,PP_0036,2.46,2.93,NP_742206.1,10.00,0.78,2.93,
oprP CDS,PP_0037,7.01,8.37,NP_742207.1,38.00,2.23,8.37,oprP
hypothetical protein CDS,PP_0039,34.56,41.27,NP_742209.1,149.00,10.97,41.27,
hypothetical protein CDS,PP_0040,69.80,83.35,NP_742210.1,66.00,22.17,83.35,
cadA-I CDS,PP_0041,9.17,10.95,NP_742211.1,77.00,2.91,10.95,cadA-I
hypothetical protein CDS,PP_0042,0.73,0.88,NP_742212.2,1.00,0.23,0.88,
czcA-I CDS,PP_0043,5.68,6.78,NP_742213.1,75.50,1.80,6.78,czcA-I
czcB-I CDS,PP_0044,11.13,13.29,NP_742214.1,58.50,3.53,13.29,czcB-I
czcC-I CDS,PP_0045,5.61,6.70,NP_742215.1,30.00,1.78,6.70,czcC-I
opdT-I CDS,PP_0046,4.43,5.29,NP_742216.1,25.00,1.41,5.29,opdT-I
czcR-II CDS,PP_0047,1.06,1.26,NP_742217.1,3.00,0.34,1.26,czcR-II
hypothetical protein CDS,PP_0048,0.73,0.88,NP_742218.1,1.00,0.23,0.88,
hypothetical protein CDS,PP_0049,53.29,63.63,NP_742219.1,328.50,16.92,63.63,
hypothetical protein CDS,PP_0050,25.08,29.95,NP_742220.1,43.00,7.96,29.95,
sigma-54 dependent transcriptional regulator CDS,PP_0051,60.37,72.08,NP_742221.1,328.00,19.17,72.08,
beta-lactamase domain-containing protein CDS,PP_0052,61.58,73.53,NP_742222.1,229.00,19.55,73.53,
sulfide:quinone oxidoreductase CDS,PP_0053,62.91,75.13,NP_742223.1,335.50,19.98,75.13,
membrane protein CDS,PP_0054,59.91,71.54,NP_742224.1,216.00,19.03,71.54,
transcriptional regulator CDS,PP_0055,73.29,87.52,NP_742225.1,273.50,23.28,87.52,
betA-I CDS,PP_0056,38.73,46.24,NP_742226.1,269.00,12.30,46.24,betA-I
major facilitator family transporter CDS,PP_0057,12.93,15.44,NP_742227.1,88.00,4.11,15.44,
1-acyl-sn-glycerol-3-phosphate acyltransferase CDS,PP_0058,51.62,61.64,NP_742228.1,170.50,16.39,61.64,
gmhB CDS,PP_0059,132.96,158.76,NP_742229.1,295.00,42.22,158.76,gmhB
glyS CDS,PP_0060,271.09,323.71,NP_742230.1,2341.00,86.09,323.71,glyS
glyQ CDS,PP_0061,362.85,433.29,NP_742231.1,1445.50,115.23,433.29,glyQ
tag CDS,PP_0062,145.71,174.00,NP_742232.1,338.00,46.27,174.00,tag
lipid A biosynthesis lauroyl acyltransferase CDS,PP_0063,139.08,166.08,NP_742233.1,519.00,44.17,166.08,
hypothetical protein CDS,PP_0064,74.79,89.31,NP_742234.1,99.00,23.75,89.31,
trkA CDS,PP_0065,86.34,103.10,NP_742235.1,498.50,27.42,103.10,trkA
rsmB CDS,PP_0066,68.79,82.15,NP_742236.1,379.00,21.85,82.15,rsmB
fmt CDS,PP_0067,87.87,104.92,NP_742237.1,344.50,27.90,104.92,fmt
def-I CDS,PP_0068,237.03,283.04,NP_742238.1,505.00,75.27,283.04,def-I
rossmann fold nucleotide-binding protein CDS,PP_0069,13.65,16.30,NP_742239.1,63.00,4.34,16.30,
tsaC CDS,PP_0070,99.79,119.16,NP_742240.1,234.00,31.69,119.16,tsaC
hypothetical protein CDS,PP_0071,87.18,104.11,NP_742241.2,122.00,27.69,104.11,
qor-I CDS,PP_0072,406.10,484.93,NP_742242.1,1669.00,128.97,484.93,qor-I
hemF CDS,PP_0073,110.11,131.49,NP_742243.1,422.00,34.97,131.49,hemF
aroE CDS,PP_0074,96.92,115.73,NP_742244.1,336.00,30.78,115.73,aroE
choline sulfate transporter CDS,PP_0075,25.07,29.94,NP_742245.1,165.00,7.96,29.94,
choline betaine-binding protein CDS,PP_0076,41.34,49.36,NP_742246.2,160.50,13.13,49.36,
betC CDS,PP_0077,9.33,11.14,NP_742247.1,59.50,2.96,11.14,betC
transcriptional regulator CDS,PP_0079,22.47,26.84,NP_742249.1,85.00,7.14,26.84,
hypothetical protein CDS,PP_0080,34.27,40.92,NP_742250.1,89.00,10.88,40.92,
hypothetical protein CDS,PP_0081,107.47,128.33,NP_742251.1,168.00,34.13,128.33,
trpA CDS,PP_0082,144.69,172.78,NP_742252.1,492.50,45.95,172.78,trpA
trpB CDS,PP_0083,204.27,243.92,NP_742253.1,1045.50,64.87,243.92,trpB
trpI CDS,PP_0084,56.77,67.79,NP_742254.1,214.00,18.03,67.79,trpI
hypothetical protein CDS,PP_0085,120.20,143.53,NP_742255.1,247.00,38.17,143.53,
hypothetical protein CDS,PP_0086,64.45,76.96,NP_742256.1,58.50,20.47,76.96,
hypothetical protein CDS,PP_0087,207.77,248.10,NP_742257.1,230.50,65.98,248.10,
alkanal monooxygenase CDS,PP_0088,127.86,152.68,NP_742258.1,540.00,40.61,152.68,
osmC CDS,PP_0089,91.33,109.06,NP_742259.1,163.50,29.01,109.06,osmC
hypothetical protein CDS,PP_0090,261.20,311.91,NP_742260.1,326.00,82.95,311.91,
putative lipoprotein CDS,PP_0091,140.54,167.82,NP_742261.1,244.50,44.63,167.82,
putative lipoprotein CDS,PP_0092,115.54,137.96,NP_742262.1,201.00,36.69,137.96,
zinc protease CDS,PP_0093,50.82,60.68,NP_742263.2,230.00,16.14,60.68,
5'-nucleotidase CDS,PP_0094,107.10,127.89,NP_742264.1,293.00,34.01,127.89,
hypothetical protein CDS,PP_0095,92.76,110.77,NP_742265.1,214.00,29.46,110.77,
prlC CDS,PP_0096,357.71,427.14,NP_742266.1,3084.50,113.60,427.14,prlC
hypothetical protein CDS,PP_0097,424.04,506.35,NP_742267.1,502.50,134.66,506.35,
hypothetical protein CDS,PP_0098,162.75,194.34,NP_742268.1,119.00,51.68,194.34,
hypothetical protein CDS,PP_0099,26.52,31.66,NP_742269.1,118.00,8.42,31.66,
cynT CDS,PP_0100,524.19,625.94,NP_742270.1,1586.00,166.47,625.94,cynT
sulfate transporter CDS,PP_0101,45.30,54.10,NP_742271.1,289.00,14.39,54.10,
cytochrome c oxidase subunit 2 CDS,PP_0103,29.11,34.76,NP_742273.1,138.00,9.25,34.76,
ctaD CDS,PP_0104,13.69,16.35,NP_742274.1,91.50,4.35,16.35,ctaD
cytochrome c oxidase assembly protein CDS,PP_0105,13.64,16.29,NP_742275.1,32.50,4.33,16.29,
cytochrome c oxidase subunit 3 CDS,PP_0106,14.87,17.76,NP_742276.1,55.50,4.72,17.76,
hypothetical protein CDS,PP_0107,7.58,9.05,NP_742277.2,23.50,2.41,9.05,
hypothetical protein CDS,PP_0108,5.52,6.59,NP_742278.1,13.50,1.75,6.59,
membrane protein CDS,PP_0109,4.96,5.92,NP_742279.1,22.50,1.57,5.92,
CyoE-like protoheme IX farnesyltransferase CDS,PP_0110,21.56,25.75,NP_742280.1,81.00,6.85,25.75,
electron transport protein SCO1/SenC CDS,PP_0111,184.77,220.64,NP_742281.1,491.50,58.68,220.64,
metQ CDS,PP_0112,232.57,277.71,NP_742282.1,753.50,73.86,277.71,metQ
metI CDS,PP_0113,125.89,150.33,NP_742283.1,355.50,39.98,150.33,metI
metN CDS,PP_0114,95.61,114.17,NP_742284.1,405.00,30.36,114.17,metN
katE CDS,PP_0115,49.35,58.93,NP_742285.1,443.00,15.67,58.93,katE
putative lipoprotein CDS,PP_0116,61.51,73.45,NP_742286.1,183.00,19.53,73.45,
znuB CDS,PP_0117,69.45,82.93,NP_742287.1,228.50,22.05,82.93,znuB
znuC CDS,PP_0118,71.79,85.73,NP_742288.1,233.50,22.80,85.73,znuC
zinc uptake regulation protein Zur CDS,PP_0119,94.50,112.85,NP_742289.2,193.00,30.01,112.85,
zinc ABC transporter CDS,PP_0120,110.87,132.39,NP_742290.1,423.50,35.21,132.39,
thrB CDS,PP_0121,134.25,160.31,NP_742291.1,536.50,42.63,160.31,thrB
hypothetical protein CDS,PP_0122,152.04,181.55,NP_742292.1,184.00,48.28,181.55,
polA CDS,PP_0123,121.24,144.77,NP_742293.1,1400.00,38.50,144.77,polA
engB CDS,PP_0124,266.16,317.83,NP_742294.1,708.00,84.53,317.83,engB
cytochrome c-type protein CDS,PP_0125,478.29,571.14,NP_742295.1,609.00,151.89,571.14,
cc CDS,PP_0126,312.67,373.36,NP_742296.1,812.00,99.30,373.36,cc
dsbA CDS,PP_0127,436.84,521.63,NP_742297.1,1162.00,138.73,521.63,dsbA
hypothetical protein CDS,PP_0128,178.55,213.20,NP_742298.1,641.50,56.70,213.20,
GGDEF domain-containing protein CDS,PP_0129,53.84,64.30,NP_742299.1,438.50,17.10,64.30,
amiD CDS,PP_0130,69.67,83.20,NP_742300.1,231.00,22.13,83.20,amiD
membrane-anchored phosphodiesterase CDS,PP_0131,29.82,35.61,NP_742301.1,201.50,9.47,35.61,
kinB CDS,PP_0132,66.97,79.97,NP_742302.1,501.50,21.27,79.97,kinB
algB CDS,PP_0133,126.49,151.05,NP_742303.1,716.00,40.17,151.05,algB
hypothetical protein CDS,PP_0134,22.87,27.31,NP_742304.1,79.00,7.26,27.31,
hypothetical protein CDS,PP_0135,53.62,64.02,NP_742305.1,36.50,17.03,64.02,
hypothetical protein CDS,PP_0136,84.38,100.75,NP_742306.1,167.00,26.80,100.75,
gltP CDS,PP_0137,106.00,126.58,NP_742307.1,592.00,33.66,126.58,gltP
membrane protein CDS,PP_0138,47.40,56.60,NP_742308.1,245.00,15.05,56.60,
lipoprotein CDS,PP_0139,63.23,75.51,NP_742309.1,169.00,20.08,75.51,
hypothetical protein CDS,PP_0140,45.62,54.47,NP_742310.1,180.00,14.49,54.47,
ABC transporter ATP-binding protein CDS,PP_0141,56.64,67.63,NP_742311.1,188.50,17.99,67.63,
ABC transporter permease CDS,PP_0142,50.47,60.27,NP_742312.1,240.50,16.03,60.27,
membrane protein CDS,PP_0143,47.78,57.05,NP_742313.1,206.00,15.17,57.05,
insulinase family metalloprotease CDS,PP_0144,50.49,60.29,NP_742314.1,298.50,16.03,60.29,
yjbB CDS,PP_0145,34.93,41.71,NP_742315.1,243.50,11.09,41.71,yjbB
ygdQ CDS,PP_0146,55.32,66.05,NP_742316.1,185.50,17.57,66.05,ygdQ
citN CDS,PP_0147,38.11,45.51,NP_742317.1,209.50,12.10,45.51,citN
hypothetical protein CDS,PP_0148,54.35,64.90,NP_742318.1,92.50,17.26,64.90,
hypothetical protein CDS,PP_0149,42.89,51.21,NP_742319.1,352.50,13.62,51.21,
hypothetical protein CDS,PP_0150,176.44,210.69,NP_742320.1,238.00,56.03,210.69,
hypothetical protein CDS,PP_0151,187.78,224.24,NP_742321.1,232.00,59.64,224.24,
hypothetical protein CDS,PP_0152,367.26,438.55,NP_742322.1,588.00,116.63,438.55,
hypothetical protein CDS,PP_0153,1598.57,1908.88,NP_742323.1,1451.00,507.67,1908.88,
scpC CDS,PP_0154,90.79,108.41,NP_742324.1,570.00,28.83,108.41,scpC
pntB CDS,PP_0155,69.72,83.25,NP_742325.1,421.00,22.14,83.25,pntB
pntAA CDS,PP_0156,85.69,102.32,YP_009236895.1,404.00,27.21,102.32,pntAA
gcdR CDS,PP_0157,25.40,30.34,NP_742326.1,98.00,8.07,30.34,gcdR
gcdH CDS,PP_0158,179.99,214.92,NP_742327.1,894.00,57.16,214.92,gcdH
family III CoA-transferase CDS,PP_0159,160.98,192.23,NP_742328.1,826.00,51.12,192.23,
ferrioxamine receptor CDS,PP_0160,24.78,29.59,NP_742329.1,259.00,7.87,29.59,
putative transmembrane sensor CDS,PP_0161,35.31,42.16,NP_742330.1,142.00,11.21,42.16,
ECF family RNA polymerase sigma-70 factor CDS,PP_0162,51.06,60.97,NP_742331.1,112.00,16.21,60.97,
transcriptional regulator CDS,PP_0163,30.35,36.24,NP_742332.1,88.00,9.64,36.24,
hypothetical protein CDS,PP_0164,41.21,49.21,NP_742333.2,120.00,13.09,49.21,
GGDEF domain-containing protein CDS,PP_0165,47.79,57.07,NP_742334.1,391.00,15.18,57.07,
HlyD family secretion protein CDS,PP_0166,136.27,162.72,NP_742335.1,788.50,43.27,162.72,
paxB CDS,PP_0167,104.26,124.49,NP_742336.1,945.00,33.11,124.49,paxB
putative surface adhesion protein CDS,PP_0168,602.62,719.59,NP_742337.1,65965.00,191.38,719.59,
TauD/TfdA family dioxygenase CDS,PP_0169,17.58,21.00,NP_742338.1,66.50,5.58,21.00,
ABC transporter substrate-binding protein CDS,PP_0170,17.73,21.17,NP_742339.1,76.00,5.63,21.17,
ABC transporter ATP-binding protein CDS,PP_0171,8.13,9.70,NP_742340.1,29.50,2.58,9.70,
ABC transporter permease CDS,PP_0172,25.61,30.59,NP_742341.1,93.00,8.13,30.59,
transcriptional factor-like protein CDS,PP_0173,187.35,223.72,NP_742342.1,496.00,59.50,223.72,
hypothetical protein CDS,PP_0174,19.76,23.59,NP_742343.1,68.00,6.27,23.59,
transcriptional regulator CDS,PP_0175,20.75,24.78,NP_742344.1,39.50,6.59,24.78,
putative efflux transporter CDS,PP_0176,16.41,19.60,NP_742345.1,144.00,5.21,19.60,
hypothetical protein CDS,PP_0177,24.58,29.35,NP_742346.1,22.00,7.81,29.35,
efflux pump CDS,PP_0178,34.50,41.20,NP_742347.1,127.00,10.96,41.20,
putative efflux transporter CDS,PP_0179,26.75,31.94,NP_742348.1,159.50,8.49,31.94,
cytochrome c family protein CDS,PP_0180,79.51,94.94,NP_742349.1,638.50,25.25,94.94,
hypothetical protein CDS,PP_0181,863.36,1030.95,NP_742350.1,892.50,274.18,1030.95,
hypothetical protein CDS,PP_0182,163.36,195.07,NP_742351.1,208.00,51.88,195.07,
glutathione S-transferase CDS,PP_0183,86.50,103.29,NP_742352.1,241.00,27.47,103.29,
argH CDS,PP_0184,239.15,285.57,NP_742353.1,1414.00,75.95,285.57,argH
algR CDS,PP_0185,129.54,154.68,NP_742354.1,405.00,41.14,154.68,algR
hemC CDS,PP_0186,195.15,233.03,NP_742355.1,772.50,61.97,233.03,hemC
hemD CDS,PP_0187,132.46,158.18,NP_742356.1,427.50,42.07,158.18,hemD
uroporphyrin-III C-methyltransferase CDS,PP_0188,205.27,245.11,NP_742357.1,973.00,65.19,245.11,
heme biosynthesis protein CDS,PP_0189,185.15,221.09,NP_742358.1,964.00,58.80,221.09,
disulfide bond formation protein B CDS,PP_0190,18.31,21.86,NP_742359.1,39.00,5.81,21.86,
algQ CDS,PP_0191,615.63,735.14,NP_742360.1,1218.50,195.51,735.14,algQ
fkl CDS,PP_0192,232.40,277.52,NP_742361.1,647.50,73.81,277.52,fkl
algP CDS,PP_0194,442.88,528.85,NP_742363.1,1842.50,140.65,528.85,algP
