Name,locus_tag,TPM,FPKM,protein_id,Raw Fragment Count,Raw Transcript Count,RPKM,gene
parB CDS,PP_0001,192.11,211.87,NP_742171.1,674.00,58.23,211.87,parB
parA CDS,PP_0002,275.22,303.54,NP_742172.1,876.00,83.42,303.54,parA
rsmG CDS,PP_0003,210.04,231.64,NP_742173.1,549.50,63.66,231.64,rsmG
trmF CDS,PP_0004,207.82,229.20,NP_742174.1,1583.50,62.99,229.20,trmF
trmE CDS,PP_0005,123.42,136.11,NP_742175.1,680.00,37.41,136.11,trmE
oxaA CDS,PP_0006,106.30,117.24,NP_742176.1,719.00,32.22,117.24,oxaA
yidD CDS,PP_0007,136.05,150.04,NP_742177.1,134.50,41.23,150.04,yidD
rnpA CDS,PP_0008,242.07,266.98,NP_742178.1,394.00,73.37,266.98,rnpA
rpmH CDS,PP_0009,647.89,714.54,NP_742179.1,351.50,196.36,714.54,rpmH
dnaA CDS,PP_0010,302.25,333.34,NP_742180.1,1847.50,91.61,333.34,dnaA
dnaN CDS,PP_0011,410.55,452.79,NP_742181.1,1821.50,124.43,452.79,dnaN
recF CDS,PP_0012,170.06,187.55,NP_742182.1,754.50,51.54,187.55,recF
gyrB CDS,PP_0013,266.77,294.21,NP_742183.1,2595.50,80.85,294.21,gyrB
transposase CDS,PP_0014,8.95,9.88,NP_742184.2,70.50,2.71,9.88,
transposon protein CDS,PP_0015,28.64,31.59,NP_742185.1,110.50,8.68,31.59,
hypothetical protein CDS,PP_0016,42.38,46.74,NP_742186.1,326.50,12.84,46.74,
transcriptional regulator CDS,PP_0017,335.58,370.10,NP_742187.1,485.50,101.71,370.10,
hypothetical protein CDS,PP_0018,599.94,661.66,NP_742188.1,2032.50,181.83,661.66,
hypothetical protein CDS,PP_0019,853.47,941.27,NP_742189.1,2397.50,258.67,941.27,
hypothetical protein CDS,PP_0020,359.90,396.92,NP_742190.1,1267.00,109.08,396.92,
hypothetical protein CDS,PP_0021,42.28,46.63,NP_742191.1,157.00,12.81,46.63,
hypothetical protein CDS,PP_0022,199.07,219.54,NP_742192.2,132.00,60.33,219.54,
hypothetical protein CDS,PP_0023,1296.25,1429.59,NP_742193.1,672.00,392.87,1429.59,
membrane-associated metal-dependent hydrolase CDS,PP_0024,3.96,4.36,NP_742194.1,27.00,1.20,4.36,
hypothetical protein CDS,PP_0025,4.88,5.38,NP_742195.1,3.00,1.48,5.38,
cobalt/cadmium/zinc exporter CDS,PP_0026,160.12,176.59,NP_742196.1,583.00,48.53,176.59,
membrane protein CDS,PP_0027,31.03,34.23,NP_742197.1,55.00,9.41,34.23,
hypothetical protein CDS,PP_0028,8.37,9.23,NP_742198.1,11.00,2.54,9.23,
czcR-I CDS,PP_0029,119.81,132.13,NP_742199.1,325.00,36.31,132.13,czcR-I
czrSA CDS,PP_0030,85.93,94.76,NP_742200.1,490.00,26.04,94.76,czrSA
hypothetical protein CDS,PP_0031,9.31,10.27,NP_742201.1,22.00,2.82,10.27,
hypothetical protein CDS,PP_0032,8.97,9.89,NP_742202.1,8.00,2.72,9.89,
undecaprenyl-glycosyl transferase CDS,PP_0033,7.10,7.83,NP_742203.1,41.50,2.15,7.83,
bactoprenol glycosyl-transferase CDS,PP_0034,3.16,3.49,NP_742204.1,12.50,0.96,3.49,
bactoprenol-linked glycose transferase CDS,PP_0035,6.52,7.19,NP_742205.1,11.00,1.98,7.19,
transcriptional regulator CDS,PP_0036,2.31,2.55,NP_742206.1,9.00,0.70,2.55,
oprP CDS,PP_0037,4.82,5.32,NP_742207.1,25.00,1.46,5.32,oprP
hypothetical protein CDS,PP_0039,31.53,34.77,NP_742209.1,130.00,9.56,34.77,
hypothetical protein CDS,PP_0040,77.41,85.38,NP_742210.1,70.00,23.46,85.38,
cadA-I CDS,PP_0041,9.96,10.99,NP_742211.1,80.00,3.02,10.99,cadA-I
hypothetical protein CDS,PP_0042,5.38,5.93,NP_742212.2,7.00,1.63,5.93,
czcA-I CDS,PP_0043,6.10,6.73,NP_742213.1,77.50,1.85,6.73,czcA-I
czcB-I CDS,PP_0044,13.43,14.81,NP_742214.1,67.50,4.07,14.81,czcB-I
czcC-I CDS,PP_0045,6.85,7.55,NP_742215.1,35.00,2.08,7.55,czcC-I
opdT-I CDS,PP_0046,4.26,4.70,NP_742216.1,23.00,1.29,4.70,opdT-I
czcR-II CDS,PP_0047,0.74,0.81,NP_742217.1,2.00,0.22,0.81,czcR-II
hypothetical protein CDS,PP_0048,8.45,9.32,NP_742218.1,11.00,2.56,9.32,
hypothetical protein CDS,PP_0049,172.76,190.53,NP_742219.1,1018.50,52.36,190.53,
hypothetical protein CDS,PP_0050,20.74,22.87,NP_742220.1,34.00,6.28,22.87,
sigma-54 dependent transcriptional regulator CDS,PP_0051,54.08,59.64,NP_742221.1,281.00,16.39,59.64,
beta-lactamase domain-containing protein CDS,PP_0052,176.57,194.74,NP_742222.1,628.00,53.52,194.74,
sulfide:quinone oxidoreductase CDS,PP_0053,120.40,132.78,NP_742223.1,614.00,36.49,132.78,
membrane protein CDS,PP_0054,66.85,73.73,NP_742224.1,230.50,20.26,73.73,
transcriptional regulator CDS,PP_0055,49.74,54.86,NP_742225.1,177.50,15.07,54.86,
betA-I CDS,PP_0056,211.95,233.76,NP_742226.1,1408.00,64.24,233.76,betA-I
major facilitator family transporter CDS,PP_0057,47.46,52.35,NP_742227.1,309.00,14.38,52.35,
1-acyl-sn-glycerol-3-phosphate acyltransferase CDS,PP_0058,47.80,52.72,NP_742228.1,151.00,14.49,52.72,
gmhB CDS,PP_0059,82.71,91.22,NP_742229.1,175.50,25.07,91.22,gmhB
glyS CDS,PP_0060,173.64,191.50,NP_742230.1,1434.00,52.63,191.50,glyS
glyQ CDS,PP_0061,268.65,296.29,NP_742231.1,1023.50,81.42,296.29,glyQ
tag CDS,PP_0062,114.95,126.77,NP_742232.1,255.00,34.84,126.77,tag
lipid A biosynthesis lauroyl acyltransferase CDS,PP_0063,60.81,67.06,NP_742233.1,217.00,18.43,67.06,
hypothetical protein CDS,PP_0064,48.19,53.14,NP_742234.1,61.00,14.60,53.14,
trkA CDS,PP_0065,63.02,69.51,NP_742235.1,348.00,19.10,69.51,trkA
rsmB CDS,PP_0066,37.87,41.76,NP_742236.1,199.50,11.48,41.76,rsmB
fmt CDS,PP_0067,50.94,56.18,NP_742237.1,191.00,15.44,56.18,fmt
def-I CDS,PP_0068,173.50,191.34,NP_742238.1,353.50,52.58,191.34,def-I
rossmann fold nucleotide-binding protein CDS,PP_0069,44.30,48.86,NP_742239.1,195.50,13.43,48.86,
tsaC CDS,PP_0070,104.57,115.33,NP_742240.1,234.50,31.69,115.33,tsaC
hypothetical protein CDS,PP_0071,35.12,38.73,NP_742241.2,47.00,10.64,38.73,
qor-I CDS,PP_0072,386.23,425.96,NP_742242.1,1518.00,117.06,425.96,qor-I
hemF CDS,PP_0073,68.07,75.08,NP_742243.1,249.50,20.63,75.08,hemF
aroE CDS,PP_0074,47.81,52.72,NP_742244.1,158.50,14.49,52.72,aroE
choline sulfate transporter CDS,PP_0075,16.53,18.23,NP_742245.1,104.00,5.01,18.23,
choline betaine-binding protein CDS,PP_0076,53.05,58.51,NP_742246.2,197.00,16.08,58.51,
betC CDS,PP_0077,6.23,6.87,NP_742247.1,38.00,1.89,6.87,betC
transcriptional regulator CDS,PP_0079,11.06,12.20,NP_742249.1,40.00,3.35,12.20,
hypothetical protein CDS,PP_0080,26.57,29.31,NP_742250.1,66.00,8.05,29.31,
hypothetical protein CDS,PP_0081,50.17,55.33,NP_742251.1,75.00,15.20,55.33,
trpA CDS,PP_0082,150.53,166.01,NP_742252.1,490.00,45.62,166.01,trpA
trpB CDS,PP_0083,229.63,253.25,NP_742253.1,1124.00,69.60,253.25,trpB
trpI CDS,PP_0084,29.41,32.43,NP_742254.1,106.00,8.91,32.43,trpI
hypothetical protein CDS,PP_0085,118.56,130.76,NP_742255.1,233.00,35.93,130.76,
hypothetical protein CDS,PP_0086,1073.67,1184.12,NP_742256.1,932.00,325.41,1184.12,
hypothetical protein CDS,PP_0087,921.34,1016.12,NP_742257.1,977.50,279.24,1016.12,
alkanal monooxygenase CDS,PP_0088,91.49,100.90,NP_742258.1,369.50,27.73,100.90,
osmC CDS,PP_0089,18.69,20.61,NP_742259.1,32.00,5.67,20.61,osmC
hypothetical protein CDS,PP_0090,208.62,230.08,NP_742260.1,249.00,63.23,230.08,
putative lipoprotein CDS,PP_0091,151.46,167.04,NP_742261.1,252.00,45.91,167.04,
putative lipoprotein CDS,PP_0092,48.68,53.69,NP_742262.1,81.00,14.76,53.69,
zinc protease CDS,PP_0093,30.04,33.13,NP_742263.2,130.00,9.10,33.13,
5'-nucleotidase CDS,PP_0094,50.07,55.22,NP_742264.1,131.00,15.18,55.22,
hypothetical protein CDS,PP_0095,45.78,50.49,NP_742265.1,101.00,13.87,50.49,
prlC CDS,PP_0096,249.01,274.63,NP_742266.1,2053.50,75.47,274.63,prlC
hypothetical protein CDS,PP_0097,204.71,225.77,NP_742267.1,232.00,62.04,225.77,
hypothetical protein CDS,PP_0098,43.62,48.10,NP_742268.1,30.50,13.22,48.10,
hypothetical protein CDS,PP_0099,7.99,8.81,NP_742269.1,34.00,2.42,8.81,
cynT CDS,PP_0100,524.62,578.59,NP_742270.1,1518.00,159.00,578.59,cynT
sulfate transporter CDS,PP_0101,10.33,11.39,NP_742271.1,63.00,3.13,11.39,
cytochrome c oxidase subunit 2 CDS,PP_0103,109.31,120.55,NP_742273.1,495.50,33.13,120.55,
ctaD CDS,PP_0104,58.30,64.29,NP_742274.1,372.50,17.67,64.29,ctaD
cytochrome c oxidase assembly protein CDS,PP_0105,58.59,64.61,NP_742275.1,133.50,17.76,64.61,
cytochrome c oxidase subunit 3 CDS,PP_0106,114.61,126.40,NP_742276.1,409.00,34.74,126.40,
hypothetical protein CDS,PP_0107,46.36,51.13,NP_742277.2,137.50,14.05,51.13,
hypothetical protein CDS,PP_0108,39.98,44.09,NP_742278.1,93.50,12.12,44.09,
membrane protein CDS,PP_0109,35.94,39.64,NP_742279.1,156.00,10.89,39.64,
CyoE-like protoheme IX farnesyltransferase CDS,PP_0110,47.04,51.88,NP_742280.1,169.00,14.26,51.88,
electron transport protein SCO1/SenC CDS,PP_0111,114.59,126.38,NP_742281.1,291.50,34.73,126.38,
metQ CDS,PP_0112,316.29,348.82,NP_742282.1,980.00,95.86,348.82,metQ
metI CDS,PP_0113,103.31,113.94,NP_742283.1,279.00,31.31,113.94,metI
metN CDS,PP_0114,72.58,80.04,NP_742284.1,294.00,22.00,80.04,metN
katE CDS,PP_0115,9.44,10.41,NP_742285.1,81.00,2.86,10.41,katE
putative lipoprotein CDS,PP_0116,104.03,114.73,NP_742286.1,296.00,31.53,114.73,
znuB CDS,PP_0117,33.69,37.15,NP_742287.1,106.00,10.21,37.15,znuB
znuC CDS,PP_0118,34.24,37.76,NP_742288.1,106.50,10.38,37.76,znuC
zinc uptake regulation protein Zur CDS,PP_0119,49.41,54.49,NP_742289.2,96.50,14.97,54.49,
zinc ABC transporter CDS,PP_0120,61.04,67.32,NP_742290.1,223.00,18.50,67.32,
thrB CDS,PP_0121,81.64,90.03,NP_742291.1,312.00,24.74,90.03,thrB
hypothetical protein CDS,PP_0122,261.79,288.72,NP_742292.1,303.00,79.34,288.72,
polA CDS,PP_0123,79.50,87.68,NP_742293.1,878.00,24.10,87.68,polA
engB CDS,PP_0124,216.99,239.31,NP_742294.1,552.00,65.77,239.31,engB
cytochrome c-type protein CDS,PP_0125,338.76,373.61,NP_742295.1,412.50,102.67,373.61,
cc CDS,PP_0126,149.18,164.53,NP_742296.1,370.50,45.21,164.53,cc
dsbA CDS,PP_0127,376.20,414.90,NP_742297.1,957.00,114.02,414.90,dsbA
hypothetical protein CDS,PP_0128,108.41,119.56,NP_742298.1,372.50,32.86,119.56,
GGDEF domain-containing protein CDS,PP_0129,76.08,83.90,NP_742299.1,592.50,23.06,83.90,
amiD CDS,PP_0130,58.66,64.69,NP_742300.1,186.00,17.78,64.69,amiD
membrane-anchored phosphodiesterase CDS,PP_0131,24.45,26.97,NP_742301.1,158.00,7.41,26.97,
