Name,locus_tag,TPM,FPKM,protein_id,Raw Fragment Count,Raw Transcript Count,RPKM,gene
parB CDS,PP_0001,250.38,321.72,NP_742171.1,940.50,81.13,321.72,parB
parA CDS,PP_0002,409.51,526.18,NP_742172.1,1395.50,132.69,526.18,parA
rsmG CDS,PP_0003,282.04,362.39,NP_742173.1,790.00,91.39,362.39,rsmG
trmF CDS,PP_0004,259.75,333.75,NP_742174.1,2119.00,84.17,333.75,trmF
trmE CDS,PP_0005,56.45,72.53,NP_742175.1,333.00,18.29,72.53,trmE
oxaA CDS,PP_0006,652.36,838.21,NP_742176.1,4724.00,211.38,838.21,oxaA
yidD CDS,PP_0007,1068.06,1372.34,NP_742177.1,1130.50,346.08,1372.34,yidD
rnpA CDS,PP_0008,2349.38,3018.70,NP_742178.1,4094.00,761.27,3018.70,rnpA
rpmH CDS,PP_0009,1729.33,2221.99,NP_742179.1,1004.50,560.35,2221.99,rpmH
dnaA CDS,PP_0010,317.22,407.59,NP_742180.1,2076.00,102.79,407.59,dnaA
dnaN CDS,PP_0011,392.62,504.47,NP_742181.1,1865.00,127.22,504.47,dnaN
recF CDS,PP_0012,249.89,321.08,NP_742182.1,1187.00,80.97,321.08,recF
gyrB CDS,PP_0013,320.16,411.37,NP_742183.1,3335.00,103.74,411.37,gyrB
transposase CDS,PP_0014,6.23,8.00,NP_742184.2,52.50,2.02,8.00,
transposon protein CDS,PP_0015,13.92,17.89,NP_742185.1,57.50,4.51,17.89,
hypothetical protein CDS,PP_0016,24.37,31.31,NP_742186.1,201.00,7.90,31.31,
transcriptional regulator CDS,PP_0017,164.63,211.53,NP_742187.1,255.00,53.34,211.53,
hypothetical protein CDS,PP_0018,263.57,338.65,NP_742188.1,956.00,85.40,338.65,
hypothetical protein CDS,PP_0019,359.59,462.04,NP_742189.1,1081.50,116.52,462.04,
hypothetical protein CDS,PP_0020,294.89,378.91,NP_742190.1,1111.50,95.55,378.91,
