Name,locus_tag,TPM,FPKM,protein_id,Raw Fragment Count,Raw Transcript Count,RPKM,gene
parB CDS,PP_0001,212.23,249.35,NP_742171.1,759.00,65.57,249.35,parB
parA CDS,PP_0002,335.34,393.98,NP_742172.1,1088.00,103.60,393.98,parA
rsmG CDS,PP_0003,213.55,250.89,NP_742173.1,569.50,65.97,250.89,rsmG
trmF CDS,PP_0004,209.67,246.33,NP_742174.1,1628.50,64.78,246.33,trmF
trmE CDS,PP_0005,52.17,61.29,NP_742175.1,293.00,16.12,61.29,trmE
oxaA CDS,PP_0006,433.10,508.84,NP_742176.1,2986.00,133.80,508.84,oxaA
yidD CDS,PP_0007,596.37,700.67,NP_742177.1,601.00,184.25,700.67,yidD
rnpA CDS,PP_0008,1165.68,1369.54,NP_742178.1,1934.00,360.13,1369.54,rnpA
rpmH CDS,PP_0009,1381.46,1623.06,NP_742179.1,764.00,426.79,1623.06,rpmH
dnaA CDS,PP_0010,288.96,339.50,NP_742180.1,1800.50,89.27,339.50,dnaA
dnaN CDS,PP_0011,397.00,466.43,NP_742181.1,1795.50,122.65,466.43,dnaN
recF CDS,PP_0012,188.94,221.98,NP_742182.1,854.50,58.37,221.98,recF
gyrB CDS,PP_0013,307.88,361.72,NP_742183.1,3053.50,95.12,361.72,gyrB
transposase CDS,PP_0014,5.36,6.30,NP_742184.2,43.00,1.66,6.30,
transposon protein CDS,PP_0015,18.05,21.21,NP_742185.1,71.00,5.58,21.21,
hypothetical protein CDS,PP_0016,24.19,28.43,NP_742186.1,190.00,7.47,28.43,
transcriptional regulator CDS,PP_0017,148.50,174.47,NP_742187.1,219.00,45.88,174.47,
hypothetical protein CDS,PP_0018,333.29,391.58,NP_742188.1,1151.00,102.97,391.58,
hypothetical protein CDS,PP_0019,436.53,512.87,NP_742189.1,1250.00,134.86,512.87,
hypothetical protein CDS,PP_0020,289.53,340.16,NP_742190.1,1039.00,89.45,340.16,
hypothetical protein CDS,PP_0021,49.14,57.73,NP_742191.1,186.00,15.18,57.73,
hypothetical protein CDS,PP_0022,75.45,88.65,NP_742192.2,51.00,23.31,88.65,
hypothetical protein CDS,PP_0023,412.52,484.66,NP_742193.1,218.00,127.45,484.66,
membrane-associated metal-dependent hydrolase CDS,PP_0024,4.03,4.73,NP_742194.1,28.00,1.24,4.73,
hypothetical protein CDS,PP_0025,6.38,7.50,NP_742195.1,4.00,1.97,7.50,
cobalt/cadmium/zinc exporter CDS,PP_0026,39.74,46.69,NP_742196.1,147.50,12.28,46.69,
membrane protein CDS,PP_0027,19.10,22.44,NP_742197.1,34.50,5.90,22.44,
hypothetical protein CDS,PP_0028,2.24,2.63,NP_742198.1,3.00,0.69,2.63,
czcR-I CDS,PP_0029,73.23,86.04,NP_742199.1,202.50,22.62,86.04,czcR-I
czrSA CDS,PP_0030,47.57,55.88,NP_742200.1,276.50,14.70,55.88,czrSA
hypothetical protein CDS,PP_0031,8.72,10.24,NP_742201.1,21.00,2.69,10.24,
hypothetical protein CDS,PP_0032,2.20,2.58,NP_742202.1,2.00,0.68,2.58,
undecaprenyl-glycosyl transferase CDS,PP_0033,6.96,8.18,NP_742203.1,41.50,2.15,8.18,
bactoprenol glycosyl-transferase CDS,PP_0034,3.85,4.52,NP_742204.1,15.50,1.19,4.52,
bactoprenol-linked glycose transferase CDS,PP_0035,4.07,4.78,NP_742205.1,7.00,1.26,4.78,
transcriptional regulator CDS,PP_0036,1.51,1.78,NP_742206.1,6.00,0.47,1.78,
oprP CDS,PP_0037,4.73,5.56,NP_742207.1,25.00,1.46,5.56,oprP
hypothetical protein CDS,PP_0039,31.41,36.90,NP_742209.1,132.00,9.70,36.90,
hypothetical protein CDS,PP_0040,27.12,31.87,NP_742210.1,25.00,8.38,31.87,
cadA-I CDS,PP_0041,6.84,8.04,NP_742211.1,56.00,2.11,8.04,cadA-I
hypothetical protein CDS,PP_0042,1.51,1.77,NP_742212.2,2.00,0.47,1.77,
czcA-I CDS,PP_0043,4.09,4.81,NP_742213.1,53.00,1.26,4.81,czcA-I
czcB-I CDS,PP_0044,8.59,10.09,NP_742214.1,44.00,2.65,10.09,czcB-I
czcC-I CDS,PP_0045,5.57,6.54,NP_742215.1,29.00,1.72,6.54,czcC-I
opdT-I CDS,PP_0046,4.36,5.12,NP_742216.1,24.00,1.35,5.12,opdT-I
