Name,locus_tag,TPM,FPKM,protein_id,Raw Fragment Count,Raw Transcript Count,RPKM,gene
parB CDS,PP_0001,252.99,324.83,NP_742171.1,953.50,82.25,324.83,parB
parA CDS,PP_0002,392.78,504.31,NP_742172.1,1343.00,127.70,504.31,parA
rsmG CDS,PP_0003,289.99,372.33,NP_742173.1,815.00,94.28,372.33,rsmG
trmF CDS,PP_0004,261.26,335.44,NP_742174.1,2138.50,84.94,335.44,trmF
trmE CDS,PP_0005,55.75,71.59,NP_742175.1,330.00,18.13,71.59,trmE
oxaA CDS,PP_0006,665.17,854.05,NP_742176.1,4833.00,216.26,854.05,oxaA
yidD CDS,PP_0007,1032.94,1326.24,NP_742177.1,1097.00,335.82,1326.24,yidD
rnpA CDS,PP_0008,2374.11,3048.23,NP_742178.1,4151.00,771.85,3048.23,rnpA
rpmH CDS,PP_0009,1698.65,2180.98,NP_742179.1,990.00,552.25,2180.98,rpmH
dnaA CDS,PP_0010,316.31,406.12,NP_742180.1,2077.00,102.84,406.12,dnaA
dnaN CDS,PP_0011,390.78,501.74,NP_742181.1,1862.50,127.05,501.74,dnaN
recF CDS,PP_0012,254.19,326.37,NP_742182.1,1211.50,82.64,326.37,recF
gyrB CDS,PP_0013,319.56,410.30,NP_742183.1,3340.00,103.89,410.30,gyrB
transposase CDS,PP_0014,6.56,8.43,NP_742184.2,55.50,2.13,8.43,
transposon protein CDS,PP_0015,11.94,15.34,NP_742185.1,49.50,3.88,15.34,
hypothetical protein CDS,PP_0016,20.66,26.53,NP_742186.1,171.00,6.72,26.53,
transcriptional regulator CDS,PP_0017,176.94,227.19,NP_742187.1,275.00,57.53,227.19,
hypothetical protein CDS,PP_0018,269.42,345.92,NP_742188.1,980.50,87.59,345.92,
hypothetical protein CDS,PP_0019,343.64,441.22,NP_742189.1,1037.00,111.72,441.22,
hypothetical protein CDS,PP_0020,320.35,411.31,NP_742190.1,1211.50,104.15,411.31,
hypothetical protein CDS,PP_0021,52.64,67.59,NP_742191.1,210.00,17.12,67.59,
hypothetical protein CDS,PP_0022,58.96,75.70,NP_742192.2,42.00,19.17,75.70,
hypothetical protein CDS,PP_0023,68.23,87.61,NP_742193.1,38.00,22.18,87.61,
membrane-associated metal-dependent hydrolase CDS,PP_0024,2.46,3.15,NP_742194.1,18.00,0.80,3.15,
hypothetical protein CDS,PP_0025,3.03,3.89,NP_742195.1,2.00,0.98,3.89,
cobalt/cadmium/zinc exporter CDS,PP_0026,25.18,32.33,NP_742196.1,98.50,8.19,32.33,
membrane protein CDS,PP_0027,13.13,16.86,NP_742197.1,25.00,4.27,16.86,
hypothetical protein CDS,PP_0028,3.19,4.09,NP_742198.1,4.50,1.04,4.09,
czcR-I CDS,PP_0029,30.37,38.99,NP_742199.1,88.50,9.87,38.99,czcR-I
czrSA CDS,PP_0030,24.98,32.07,NP_742200.1,153.00,8.12,32.07,czrSA
hypothetical protein CDS,PP_0031,4.14,5.31,NP_742201.1,10.50,1.34,5.31,
hypothetical protein CDS,PP_0032,0.00,0.00,NP_742202.1,0.00,0.00,0.00,
undecaprenyl-glycosyl transferase CDS,PP_0033,6.45,8.28,NP_742203.1,40.50,2.10,8.28,
bactoprenol glycosyl-transferase CDS,PP_0034,2.47,3.17,NP_742204.1,10.50,0.80,3.17,
bactoprenol-linked glycose transferase CDS,PP_0035,4.96,6.37,NP_742205.1,9.00,1.61,6.37,
transcriptional regulator CDS,PP_0036,2.87,3.68,NP_742206.1,12.00,0.93,3.68,
oprP CDS,PP_0037,5.21,6.69,NP_742207.1,29.00,1.69,6.69,oprP
hypothetical protein CDS,PP_0039,32.74,42.03,NP_742209.1,145.00,10.64,42.03,
