Name,locus_tag,TPM,FPKM,protein_id,Raw Fragment Count,Raw Transcript Count,RPKM,gene
parB CDS,PP_0001,42.18,49.93,NP_742171.1,115.50,9.99,49.93,parB
parA CDS,PP_0002,89.15,105.54,NP_742172.1,221.50,21.13,105.54,parA
rsmG CDS,PP_0003,44.81,53.04,NP_742173.1,91.50,10.62,53.04,rsmG
trmF CDS,PP_0004,59.60,70.56,NP_742174.1,354.50,14.12,70.56,trmF
trmE CDS,PP_0005,139.74,165.43,NP_742175.1,601.00,33.12,165.43,trmE
oxaA CDS,PP_0006,17.71,20.97,NP_742176.1,93.50,4.20,20.97,oxaA
yidD CDS,PP_0007,39.52,46.79,NP_742177.1,30.50,9.37,46.79,yidD
rnpA CDS,PP_0008,61.79,73.15,NP_742178.1,78.50,14.64,73.15,rnpA
rpmH CDS,PP_0009,55.49,65.69,NP_742179.1,23.50,13.15,65.69,rpmH
dnaA CDS,PP_0010,53.13,62.90,NP_742180.1,253.50,12.59,62.90,dnaA
dnaN CDS,PP_0011,65.98,78.11,NP_742181.1,228.50,15.64,78.11,dnaN
recF CDS,PP_0012,56.31,66.66,NP_742182.1,195.00,13.34,66.66,recF
gyrB CDS,PP_0013,31.73,37.57,NP_742183.1,241.00,7.52,37.57,gyrB
transposase CDS,PP_0014,4.96,5.88,NP_742184.2,30.50,1.18,5.88,
transposon protein CDS,PP_0015,12.78,15.13,NP_742185.1,38.50,3.03,15.13,
hypothetical protein CDS,PP_0016,32.68,38.68,NP_742186.1,196.50,7.74,38.68,
transcriptional regulator CDS,PP_0017,107.59,127.37,NP_742187.1,121.50,25.50,127.37,
hypothetical protein CDS,PP_0018,227.08,268.82,NP_742188.1,600.50,53.81,268.82,
hypothetical protein CDS,PP_0019,814.97,964.78,NP_742189.1,1787.00,193.13,964.78,
hypothetical protein CDS,PP_0020,385.92,456.86,NP_742190.1,1060.50,91.45,456.86,
hypothetical protein CDS,PP_0021,20.01,23.69,NP_742191.1,58.00,4.74,23.69,
hypothetical protein CDS,PP_0022,146.83,173.82,NP_742192.2,76.00,34.80,173.82,
hypothetical protein CDS,PP_0023,249.59,295.47,NP_742193.1,101.00,59.15,295.47,
